hour,hr,br,sdnn,rmssd,day
8,71.10176779741997,10.754419493549928,72.631835,36.29557333333333,04-12
9,71.91111111111111,18.95861111111111,65.5721025,37.15006416666667,04-12
10,69.51277777777777,20.376944444444444,51.106770833333336,30.253091666666666,04-12
11,69.3463888888889,21.91138888888889,57.55615416666667,30.0292975,04-12
12,77.27027777777778,18.194444444444443,59.16341250000001,31.06689583333333,04-12
13,73.05,20.943055555555556,49.21468166666667,23.193359166666667,04-12
14,63.70777777777778,17.705833333333334,53.77197250000001,31.311035833333335,04-12
15,68.56722222222223,22.02861111111111,57.14925083333333,31.636555833333336,04-12
16,64.70777777777778,20.724722222222223,62.276205000000004,32.18587083333333,04-12
17,63.583888888888886,20.488611111111112,52.42919833333334,30.39551,04-12
18,69.4325,15.698333333333334,53.5074875,35.15624833333334,04-12
19,77.72222222222223,18.5025,34.993489999999994,18.758138333333335,04-12
20,67.47916666666667,18.21472222222222,50.3946925,30.171710833333332,04-12
21,71.16001520334474,20.82592170277461,55.881076666666665,24.522571111111112,04-12
7,63.19623161764706,14.326746323529411,63.02315714285714,28.04129571428571,04-13
8,72.89805555555556,19.732222222222223,63.802084166666674,31.127928333333333,04-13
9,65.98694444444445,21.11722222222222,41.259764999999994,23.946125833333333,04-13
10,69.34722222222223,20.079722222222223,52.83610083333334,19.89746,04-13
11,72.49166666666666,22.114722222222223,57.250975833333335,20.874022500000002,04-13
12,73.31011146496816,12.158837579617835,46.522352222222224,19.77539,04-13
9,78.53879310344827,16.350574712643677,67.50487999999999,28.68652,04-14
10,70.8013888888889,21.51861111111111,46.61051416666667,22.440593333333332,04-14
11,63.00527777777778,20.56833333333333,55.52164666666667,24.434408333333334,04-14
12,70.24583333333334,17.836944444444445,47.97363166666666,23.213703333333335,04-14
13,68.1061111111111,21.19638888888889,56.722006666666665,28.177897500000004,04-14
14,68.73861111111111,18.283055555555556,60.03825,34.627280000000006,04-14
15,70.21277777777777,23.20611111111111,75.76497583333334,24.291990833333333,04-14
16,68.23638888888888,23.830277777777777,77.31119749999999,25.614419166666664,04-14
17,63.894444444444446,19.695,57.576497499999995,27.547201666666663,04-14
18,60.577777777777776,21.475,58.125811666666664,27.018228333333337,04-14
19,62.399166666666666,19.765,53.7109375,23.742675833333333,04-14
20,64.21194444444444,17.442222222222224,54.72819083333333,23.356119999999997,04-14
21,60.87861111111111,18.20638888888889,61.27929666666667,24.556478333333335,04-14
22,62.50055555555556,18.864444444444445,61.56412916666667,26.5299475,04-14
23,53.47445255474452,17.32846715328467,,,04-14
6,58.63870967741936,14.761290322580646,,,04-15
7,72.09805555555556,11.428611111111111,68.80696666666667,29.602050000000002,04-15
8,67.57472222222222,20.906111111111112,64.88037000000001,22.19645166666667,04-15
9,67.70472222222222,20.244444444444444,58.47167833333333,21.748861666666663,04-15
10,66.35583333333334,20.0725,72.22493583333333,26.875814166666668,04-15
11,71.37138888888889,18.05027777777778,56.21337916666667,26.407875833333335,04-15
12,69.99055555555556,19.761944444444445,54.72818916666667,23.864745000000003,04-15
13,66.69083333333333,19.93638888888889,62.357585,20.487466666666666,04-15
14,65.21694444444445,20.1775,82.8653975,27.486164166666665,04-15
15,67.195,20.14472222222222,63.27311249999999,22.623698333333333,04-15
16,67.32,19.65222222222222,78.20637916666666,26.204426666666667,04-15
17,72.73833333333333,19.718888888888888,68.88834583333333,33.50829916666667,04-15
18,80.09444444444445,14.0275,63.80208333333333,27.974445,04-15
19,73.24555555555555,13.508055555555556,50.23193416666667,21.870931666666667,04-15
20,73.15666666666667,17.166944444444443,57.128905833333334,24.027505833333333,04-15
21,86.90666666666667,22.426666666666666,49.13330083333334,31.026205,04-15
22,69.20611111111111,19.8675,68.88834583333333,31.046549999999996,04-15
23,70.76612903225806,24.618279569892472,96.92383000000001,30.39551,04-15
7,74.05609041439934,14.97697781498535,57.61718714285714,30.936105714285713,04-16
8,74.90333333333334,19.248055555555556,67.68798916666667,43.66048249999999,04-16
9,77.69333333333333,19.215833333333332,52.408855,30.883789166666666,04-16
10,66.7325,19.45111111111111,56.722004166666665,27.506510000000002,04-16
11,79.21138888888889,17.940277777777776,53.263344999999994,33.32519583333333,04-16
12,65.3025,20.055555555555557,30.904134166666665,20.10091166666667,04-16
13,67.97916666666667,20.98138888888889,62.92724416666666,25.858561666666667,04-16
14,72.00583333333333,20.33361111111111,65.51106750000001,28.4423825,04-16
15,66.00972222222222,22.923333333333332,67.95247416666666,25.268554166666664,04-16
16,64.87472222222222,20.586944444444445,78.67431583333332,32.979328333333335,04-16
17,74.04805555555555,16.845277777777778,69.84456416666666,30.82275333333333,04-16
18,67.77305555555556,17.237222222222222,57.250976666666666,28.116862500000003,04-16
19,75.09527777777778,18.966666666666665,60.11962833333333,21.484375,04-16
20,62.06055555555555,14.668888888888889,65.26692583333333,28.177897500000004,04-16
21,57.97388888888889,14.391111111111112,68.94938166666667,30.6193025,04-16
22,54.5372460496614,18.376975169300227,71.777345,43.212895,04-16
7,67.01046511627906,14.791472868217054,80.2307125,35.67504875,04-17
8,70.29444444444445,14.874444444444444,66.89453250000001,35.339354166666666,04-17
9,67.52944444444445,18.97361111111111,71.26871750000001,28.15755083333333,04-17
10,74.80305555555556,20.128055555555555,63.5172525,23.640949999999997,04-17
11,71.33361111111111,21.485,52.530924166666665,20.36539833333333,04-17
12,75.91916666666667,15.919166666666667,43.72151666666666,28.503418333333332,04-17
13,67.19333333333333,19.954444444444444,57.515462500000005,31.860350000000004,04-17
14,66.8925,20.8525,63.43587333333333,29.439290833333335,04-17
15,65.52400408580183,21.602655771195096,47.74693,26.57644857142857,04-17
0,68.18954248366013,18.49019607843137,,,04-18
11,74.03542510121457,17.300101214574898,,,04-18
12,70.60777777777778,21.468611111111112,,,04-18
13,66.96222222222222,20.30611111111111,,,04-18
14,69.07555555555555,18.40277777777778,,,04-18
15,73.78,22.615833333333335,,,04-18
16,63.9775,19.794166666666666,,,04-18
17,62.44222222222222,20.165277777777778,,,04-18
18,75.395,14.818055555555556,,,04-18
19,75.11444444444444,12.335277777777778,,,04-18
20,78.03972222222222,18.738055555555555,,,04-18
21,63.77361111111111,16.185,,,04-18
22,68.56527777777778,15.981388888888889,,,04-18
23,69.8275,20.5275,,,04-18
8,72.56985915492957,15.4056338028169,,,04-19
9,78.24694444444444,20.235833333333332,,,04-19
10,69.38444444444444,20.705277777777777,,,04-19
11,70.59055555555555,16.509444444444444,,,04-19
12,63.63805555555555,20.09,,,04-19
13,71.12805555555556,20.54277777777778,,,04-19
14,71.28583333333333,18.6425,,,04-19
15,71.13166666666666,21.765555555555554,,,04-19
16,78.81388888888888,21.30472222222222,,,04-19
17,77.7063888888889,20.988055555555555,,,04-19
18,61.016666666666666,19.221944444444443,,,04-19
19,66.87641025641025,11.14,,,04-19
